id	section	part	set_id	number	correct_answer	accepted_answers	max_points
ADV5_T1_P1_Q01	UOE	1	ADV5_T1_P1	1	D	D	1
ADV5_T1_P1_Q02	UOE	1	ADV5_T1_P1	2	C	C	1
ADV5_T1_P1_Q03	UOE	1	ADV5_T1_P1	3	B	B	1
ADV5_T1_P1_Q04	UOE	1	ADV5_T1_P1	4	C	C	1
ADV5_T1_P1_Q05	UOE	1	ADV5_T1_P1	5	C	C	1
ADV5_T1_P1_Q06	UOE	1	ADV5_T1_P1	6	D	D	1
ADV5_T1_P1_Q07	UOE	1	ADV5_T1_P1	7	A	A	1
ADV5_T1_P1_Q08	UOE	1	ADV5_T1_P1	8	C	C	1
ADV5_T1_P2_Q09	UOE	2	ADV5_T1_P2	9	BUT	BUT	1
ADV5_T1_P2_Q10	UOE	2	ADV5_T1_P2	10	EVERY	EVERY | ALL	1
ADV5_T1_P2_Q11	UOE	2	ADV5_T1_P2	11	LIKE	LIKE	1
ADV5_T1_P2_Q12	UOE	2	ADV5_T1_P2	12	SO	SO	1
ADV5_T1_P2_Q13	UOE	2	ADV5_T1_P2	13	WHOSE	WHOSE	1
ADV5_T1_P2_Q14	UOE	2	ADV5_T1_P2	14	TO	TO	1
ADV5_T1_P2_Q15	UOE	2	ADV5_T1_P2	15	THIS	THIS | THAT	1
ADV5_T1_P2_Q16	UOE	2	ADV5_T1_P2	16	ON	ON	1
ADV5_T1_P3_Q17	UOE	3	ADV5_T1_P3	17	RARITY	RARITY	1
ADV5_T1_P3_Q18	UOE	3	ADV5_T1_P3	18	EXTRAORDINARY	EXTRAORDINARY	1
ADV5_T1_P3_Q19	UOE	3	ADV5_T1_P3	19	INTELLECTUALLY	INTELLECTUALLY	1
ADV5_T1_P3_Q20	UOE	3	ADV5_T1_P3	20	AMBITIOUS	AMBITIOUS	1
ADV5_T1_P3_Q21	UOE	3	ADV5_T1_P3	21	INVESTORS	INVESTORS	1
ADV5_T1_P3_Q22	UOE	3	ADV5_T1_P3	22	PHENOMENALLY	PHENOMENALLY	1
ADV5_T1_P3_Q23	UOE	3	ADV5_T1_P3	23	SCEPTICISM	SCEPTICISM	1
ADV5_T1_P3_Q24	UOE	3	ADV5_T1_P3	24	FORTUNATE	FORTUNATE	1
ADV5_T1_P4_Q25	UOE	4	ADV5_T1_P4	25	WERE SUPPOSED TO BE FINISHED	WERE SUPPOSED TO BE FINISHED | WERE SUPPOSED TO HAVE BEEN FINISHED	2
ADV5_T1_P4_Q26	UOE	4	ADV5_T1_P4	26	RUNNER RECEIVED A MEDAL ON COMPLETION	RUNNER RECEIVED A MEDAL ON COMPLETION | RUNNER RECEIVED A MEDAL AFTER COMPLETION | RUNNER RECEIVED A MEDAL FOR COMPLETION	2
ADV5_T1_P4_Q27	UOE	4	ADV5_T1_P4	27	YOU HAVE IN MIND FOR	YOU HAVE IN MIND FOR	2
ADV5_T1_P4_Q28	UOE	4	ADV5_T1_P4	28	THERE IS NO HARM IN	THERE IS NO HARM IN | THERE IS NO HARM IN YOU | THERE IS NO HARM IN YOUR | THERE ISN’T ANY HARM IN | THERE IS NOT ANY HARM IN	2
ADV5_T1_P4_Q29	UOE	4	ADV5_T1_P4	29	FAR AS MARCO WAS CONCERNED	FAR AS MARCO WAS CONCERNED	2
ADV5_T1_P4_Q30	UOE	4	ADV5_T1_P4	30	HAD SOME RESERVATIONS ABOUT EMPLOYING	HAD SOME RESERVATIONS ABOUT EMPLOYING | HAD RESERVATIONS ABOUT EMPLOYING | HAD RESERVATIONS ABOUT WHETHER TO EMPLOY	2
ADV5_T1_P5_Q31	READING	5	ADV5_T1_P5	31	D	D	2
ADV5_T1_P5_Q32	READING	5	ADV5_T1_P5	32	C	C	2
ADV5_T1_P5_Q33	READING	5	ADV5_T1_P5	33	D	D	2
ADV5_T1_P5_Q34	READING	5	ADV5_T1_P5	34	B	B	2
ADV5_T1_P5_Q35	READING	5	ADV5_T1_P5	35	C	C	2
ADV5_T1_P5_Q36	READING	5	ADV5_T1_P5	36	A	A	2
ADV5_T1_P6_Q37	READING	6	ADV5_T1_P6	37	A	A	2
ADV5_T1_P6_Q38	READING	6	ADV5_T1_P6	38	B	B	2
ADV5_T1_P6_Q39	READING	6	ADV5_T1_P6	39	B	B	2
ADV5_T1_P6_Q40	READING	6	ADV5_T1_P6	40	C	C	2
ADV5_T1_P7_Q41	READING	7	ADV5_T1_P7	41	D	D	2
ADV5_T1_P7_Q42	READING	7	ADV5_T1_P7	42	F	F	2
ADV5_T1_P7_Q43	READING	7	ADV5_T1_P7	43	B	B	2
ADV5_T1_P7_Q44	READING	7	ADV5_T1_P7	44	G	G	2
ADV5_T1_P7_Q45	READING	7	ADV5_T1_P7	45	C	C	2
ADV5_T1_P7_Q46	READING	7	ADV5_T1_P7	46	A	A	2
ADV5_T1_P8_Q47	READING	8	ADV5_T1_P8	47	B	B	1
ADV5_T1_P8_Q48	READING	8	ADV5_T1_P8	48	C	C	1
ADV5_T1_P8_Q49	READING	8	ADV5_T1_P8	49	B	B	1
ADV5_T1_P8_Q50	READING	8	ADV5_T1_P8	50	D	D	1
ADV5_T1_P8_Q51	READING	8	ADV5_T1_P8	51	A	A	1
ADV5_T1_P8_Q52	READING	8	ADV5_T1_P8	52	C	C	1
ADV5_T1_P8_Q53	READING	8	ADV5_T1_P8	53	D	D	1
ADV5_T1_P8_Q54	READING	8	ADV5_T1_P8	54	B	B	1
ADV5_T1_P8_Q55	READING	8	ADV5_T1_P8	55	A	A	1
ADV5_T1_P8_Q56	READING	8	ADV5_T1_P8	56	C	C	1
ADV5_T2_P1_Q01	UOE	1	ADV5_T2_P1	1	C	C	1
ADV5_T2_P1_Q02	UOE	1	ADV5_T2_P1	2	A	A	1
ADV5_T2_P1_Q03	UOE	1	ADV5_T2_P1	3	C	C	1
ADV5_T2_P1_Q04	UOE	1	ADV5_T2_P1	4	B	B	1
ADV5_T2_P1_Q05	UOE	1	ADV5_T2_P1	5	D	D	1
ADV5_T2_P1_Q06	UOE	1	ADV5_T2_P1	6	C	C	1
ADV5_T2_P1_Q07	UOE	1	ADV5_T2_P1	7	A	A	1
ADV5_T2_P1_Q08	UOE	1	ADV5_T2_P1	8	D	D	1
ADV5_T2_P2_Q09	UOE	2	ADV5_T2_P2	9	WHETHER	WHETHER	1
ADV5_T2_P2_Q10	UOE	2	ADV5_T2_P2	10	IF	IF	1
ADV5_T2_P2_Q11	UOE	2	ADV5_T2_P2	11	TAKING	TAKING	1
ADV5_T2_P2_Q12	UOE	2	ADV5_T2_P2	12	MAKE	MAKE	1
ADV5_T2_P2_Q13	UOE	2	ADV5_T2_P2	13	ONE	ONE	1
ADV5_T2_P2_Q14	UOE	2	ADV5_T2_P2	14	ALL	ALL | EVERYBODY | EVERYONE	1
ADV5_T2_P2_Q15	UOE	2	ADV5_T2_P2	15	THOUGH	THOUGH | ALTHOUGH | WHILE | WHILST	1
ADV5_T2_P2_Q16	UOE	2	ADV5_T2_P2	16	WITH	WITH	1
ADV5_T2_P3_Q17	UOE	3	ADV5_T2_P3	17	CLOSURES	CLOSURES	1
ADV5_T2_P3_Q18	UOE	3	ADV5_T2_P3	18	UNDERGONE	UNDERGONE	1
ADV5_T2_P3_Q19	UOE	3	ADV5_T2_P3	19	NECESSITIES	NECESSITIES	1
ADV5_T2_P3_Q20	UOE	3	ADV5_T2_P3	20	PAYMENTS	PAYMENTS	1
ADV5_T2_P3_Q21	UOE	3	ADV5_T2_P3	21	UNCOMFORTABLE	UNCOMFORTABLE	1
ADV5_T2_P3_Q22	UOE	3	ADV5_T2_P3	22	ENABLED	ENABLED	1
